id,subject,sender,body
11,**PAYCHECK**,[Unknown],"This phish typically originates from non-Cornell email infrastructure and spoofs (or fakes) a Cornell University email address. The sender may appear as ""Payroll Services <payroll@cornell.edu>"". This email is typically received after a victim has already replied to a student employment scam. The email contains a fake check in the form of a PDF attachment. Do not attempt to deposit the checks and cease all contact with the sender. See Beware of Job and Internship Scams from Career Services for more information. Hello [Name], Attached is the paycheck to cover the expenses for the office supplies and your first weekly pay. However, these supplies are assigned to you by the department to carry out your assignment duties. Kindly proceed to make a mobile deposit. The steps for making a mobile deposit of your check are listed . Print it out and cut it out to the appropriate size and shape. On the check's back write Full name Mobile Deposit Only Your account number Sign. Thank you. [Spoofed Name] Payroll and Student Employment Assistant [College] - Student Employment & Payroll"
12,Research Assistants Needed,[Unknown],"Cornell University, Department of Computer Science urgently requires the services of Graduate and Undergraduatestudents to assist with research projects on campus. The successful candidates will work closely with our research team to support ongoing data collection, and analysis . They are to work remotely and get paid $400 weekly. Responsibilities: Assist with the design and implementation of research projects on campus Conduct literature reviews and summarize key findings Collect and analyze data using appropriate statistical methods Prepare and present findings to the research team Perform administrative duties such as scheduling, data entry, and record keeping Assist with writing research reports and manuscripts for publication Recruit participants and conduct research studies Qualifications: Excellent organizational and time management skills Strong attention to detail Availability to work on campus or remotely Proficient in Microsoft Office (Word, Excel, PowerPoint) This is a part-time position with a flexible schedule, and the successful candidate will work approximately 7 hours per week. The position offers valuable research experience, and the opportunity to work with a dynamic and collaborative research team on campus. To proceed with the application process and other eligibility descriptions, submit your resume for review . Best Regards, C/O [name] Professor; Computer Science"
13,The Care Employment Opportunity,[Unknown],"Please do not respond to this email.  Report the sender as spam, block sender and then delete. THis is not a valid offer. Subject: The Care Employment Opportunity I am delighted to present an exciting opportunity: Temporary Personal Assistant needed for COVID-19 support at THE CARE USA. Part-time, remote role with a competitive salary. Apply now to make a positive impact on lives. Review 'THE CARE USA' attachment Word Document for instructions and contact Penny Wilcox for guidance using your personal email address (Gmail, Yahoo, or Hotmail). Thank you for considering this remarkable opportunity. We eagerly await your application and the possibility of welcoming you to THE CARE USA team. Best regards, Uposhahar Sylhet Mass Care Team"
14,ESSENTIAL TASK:,[Unknown],"Hi [Name], Is your schedule open today? I am heading for a meeting, but I am excellent with emails if that works well for you as well. I'd want you to discreetly run a task for me. Thanks. -- [Spoofed Name] [Org] HR Manager ###-###-2251 ext ### Cornell Cooperative Extension [County Name] County [Address] TEL: (###) ###-2251 FAX: (###) ###-5148 [user]@cornell.edu"
15,2023 Financial Benefit For Employees,[Unknown],"This phish typically originates from a non-Cornell account. The link within directs to a fake login page. Do not click the link nor reply to the sender. If you entered your credentials into the page, change your NetID password immediately at https://netid.cornell.edu. This is a program offering financial support to help overcome economic hardships through this season. Eligible individuals can receive up to $3,300 in financial assistance. Visit ""benefit(link is external)"" and follow instructions to apply with required information for timely processing. Your cooperation is valued; contact our support team for any questions or assistance. Sincerely, (first name, last name) Mass Care Team"
16,Electronic Deposit,[Unknown],"Hi [Name], Kindly provide me the information you will require from me in order to update the account I have listed for direct deposit before the next payroll is processed. Regards [Spoofed Name]"
17,REMOTE JOB AVAILABLE,[Unknown],"HELLO EVERYONE!!!   WE ARE PLEASED TO INFORM YOU ABOUT AN AVAILABLE PART TIME POSITION OF A OFFICE ASSISTANT FOR 750USD/8HR TO 10HR PER WEEKLY WAGES.  IF YOUR SCHEDULE IS FLEXIBLE ENOUGH TO TAKE THIS POSITION, KINDLY CONTACT ""([user]@zohomail.com)"" FOR MORE DETAILS ABOUT THIS POSITION. KINDLY INCLUDE YOUR CELLPHONE NUMBER WHEN APPLYING FOR DIRECT CONTACT AS WELL AS PART OF THE CITY THAT YOU RESIDE.       TO PROCEED WITH THIS JOB OFFER, KINDLY REPLY TO THIS MAIL WITH YOUR ALTERNATE E-MAIL ADDRESS IN ORDER TO RECEIVE THE FULL JOB DESCRIPTION.       BEST REGARDS,"
18,INDIVIDUAL ASSESSMENT REPORT,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""Grace [Surname] <[user]@nau.edu>"". The link within directs to a fake login page hosted via Jotform. Do not follow the link nor reply to the sender. If you entered your credentials into the page, change your NetID password immediately at https://netid.cornell.edu. Dear faculty and staff members, We kindly request your attention to review the individual assessment report. Your input is valuable and appreciated, as it helps us to better understand your strengths and weaknesses. By reviewing this report, we can identify areas where further support and training may be necessary, ultimately leading to your growth and success within the organization. CLICK HERE TO VIEW YOUR REPORT Thank you for your cooperation in this matter. Best regards."
19,[Employee Name],[Unknown],"This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] <officerequest103@gmail.com>"" and impersonates a member of university leadership. Do not reply to the sender. The scammer's goal is typically to coerce the recipients into purchasing gift cards. Hello kindly spare me little time for a request? Sent from App for Gmail"
20,"Subject varies: ""Job Opening For Research"", ""Research Assistance Needed""",[Unknown],"This phish typically originates from a non-Cornell email address. The sender may appear as ""Prof. [Spoofed Name] <[user]@gmail.com>"" and impersonates a faculty member. The named faculty member and department may vary. Do not reply to the sender. This is not a legitimate offer for employment. See Beware of Job and Internship Scams from Career Services. Cornell University, Sibley School of  Mechanical and  Aerospace  Engineering  requires the services of  Graduate and Undergraduate students to assist with research projects on campus. The successful candidates will work closely with our research team to support ongoing data collection, and analysis . They are to work remotely or in person  and get paid $350  weekly. Responsibilities: Assist with the design and implementation of research projects on campus Conduct literature reviews and summarize key findings Collect and analyze data using appropriate statistical methods Prepare and present findings to the research team Qualifications: Excellent organizational and time management skills Strong attention to detail Availability to work on campus or remotely  Proficient in Microsoft Office (Word, Excel, PowerPoint) This is a part-time position with a flexible schedule, and the successful candidate will work approximately 6-7 hours per week. The position offers valuable research experience, and the opportunity to work with a dynamic and collaborative research team on campus. To proceed with the application process and other eligibility descriptions, submit your resume for review. Best Regards, c/o [Spoofed Name] Sibley School of Mechanical and Aerospace Engineering Upson Hall, Room 139"
21,"Please Review: Financial Statement #86782 || sent to ""[NetID]@cornell.edu"" from your organization",[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""Docu Via E_Signature AR Accounts <info@caton.com>"". The link within directs to a fake login page. Do not follow the link nor reply to the sender. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu. DocuSign Please review and sign pending document REVIEW SECURE DOCUMENT Please complete with your electronic signature by following the link above. Thank You! Powered by DocuSign | Microsoft Do Not Share This Email This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others. Alternate Signing Method Visit DocuSign.com click 'Access Documents', and enter the security code: 84D10B8DF142437A8D46B331A09181122 About DocuSign Sign documents electronically in just minutes. It's safe, secure, and legally binding. Whether you're in an office, at home, on-the-go -- or even across the globe -- DocuSign provides a professional trusted solution for Digital Transaction Management™"
22,Own A Snap-On Tools and Accessories,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] <[user]@gmail.com>"" and impersonates a member of university leadership. Do not reply to the sender nor contact the email address within the message. The attacker's goal is typically to coerce the recipient into a fraudulent financial transfer. Dear Staff,Faculty One of our staff at Cornell University ,Mrs.[Spoofed Name], has expressed her willingness to donate her late dad's Miller 951937 Dynasty 300 TIG Welder with/ TIG Runner Package & Wireless Foot Control, along with a complete set of Snap-On Tools and accessories To indicate your interest kindly write to Mrs.[Spoofed Name], on her personal email [[user]@outlook.com] for a swift response and for more details and inspection of the Tools. Best Regards. [Spoofed Name] [Title] [Office] Cornell University At times emails are sent outside of 8:00-5:00 business hours or on weekends. Please do not feel obligated to respond outside of normal working hours."
23,"EXPIRED [address]@cornell.edu Today, [date]",[Unknown],[No body content]
24,ASSESSMENT REPORT FOR ALL STAFF MEMBERS 2024,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] <[user]@uta.edu>"". The message contains a PDF attachment which includes a link to a now disabled fake login page hosted via Jotform. Do not open the attachment nor reply to the sender. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu. Hello,   Hope this email finds you well.   I am pleased to inform you that the HR DEPARTMENT has recently finalized the Administrative Specialist Report for all Staff Members. It is imperative that you treat this matter with urgency.   Attached below, you will find the relevant file that contains your individual Admin Specialist Report. Please kindly find and open the file to access the information.   Thank you for your prompt attention to this matter.   [Spoofed Name], Ph.D Research Scientist III [Unit] The University of Texas at Arlington | [College] Email: [user]@uta.edu"
25,CHECKING UPDATE,[Unknown],"Hi,  I will like to update my checking account to a new one before the next payday, can you help in getting this done if i could send you my new banking information please? All the best, [Spoofed Name]"
26,PART/TIME ADMIN-ASSISTANT PLACEMENT.,[Unknown],"This phish originates from a compromised Cornell NetID. The sender may appear as ""Dan [Surname] <[NetID]@cornell.edu>"". The account has since been secured. Do not contact the Gmail address nor phone number within the email, do not reply. This is not a legitimate offer for employment. See https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams. Some DEPTS are currently recruiting individuals who can assist some of their visiting professors by providing basic admin. duties remotely. The successful candidate will Liaise with staff, other departments, and/or external organizations concerning matters regarding assigned work as well as coordinating with the director. Weekly-Salary; $400 ( $350 +$50 for MISC including tax) To get more Details; Get in touch with Prof [Spoofed Name] { [user]@gmail.com } with your PERSONAL email address For Consideration, Sincerely, [Spoofed Name] Senior investment Director [user]@gmail.com ### #######"
27,Job Opening,[Unknown],"This phish typically originates from a non-Cornell email address. The sender may appear as """"Prof. [Spoofed Name]"" <[user]@gmail.com>"". Do not reply to the sender nor contact the phone number within. This is not a legitimate offer for employment. See Beware of Job and Internship Scams from Career Services. Cornell University, College of Computing and Information Science, Department of Computer Science is currently seeking creative, highly organized and enthusiastic Graduate and Undergraduate Students to support ongoing data collection and analysis . They are to work remotely and get paid $350 weekly. The primary Research is in the area of Natural Language processing (NLP) where our goal is to develop algorithms and systems that will vastly improve a users ability to find, absorb and extract information from online- text . My group research generally proceeds at two levels; we focus both on building real systems for large-scale natural language processing tasks and on developing techniques to address underlying theoretical problems in the syntactic, semantic and pragmatic analysis of natural language. We rely on machine learning techniques including neural networks as our primary modeling tool, both for guiding natural language system development and for exploring the mechanisms that underlie language understanding. This is a part-time position with a flexible schedule, and the successful candidate will work approximately 6-7 hours per week  . The position offers valuable research experience, and the opportunity to work with a dynamic and collaborative research team on campus. To proceed with the application process, submit a copy of  your resume and your current class schedule for review or send me a text message stating your full name, major and year of study to  (###) ###-####. Best regards [Spoofed Name] Professor, Department of Computer Science           and Department of Information Science Associate Dean for Education, Bowers College of Computing and Information Science Cornell University 417 Gates Hall"
28,REMOTE INTERN ASSISTANT POSITION,[Unknown],"FROM THE OFFICE OF JOB PLACEMENT AND STUDENT SERVICES - CORNELL UNIVERSITY In reference to the above subject The Cornell State University will be hiring undergraduate students this week as Interns for a remote position. The aim of this position is to help struggling students cover expenses incurred here on campus. Tasks can be carried out at leisure, taking at most 1 hour per day, 7 hours a week with a weekly pay of $350 as compensation for services rendered. It is a Flexible Opportunity where you will determine your working time. Since this is a ""Remote"" Position, tasks can be carried out from home or on campus. We are currently working on a Research that would require the services of Students (Graduate/Undergraduate) of any Department of the Institution to Obtain a Remote Position in this Research. Interested students, Kindly contact Professor [name] via text at (***) ***-**** stating your full name, email, department and year of study regarding the job description and further application requirements. Please Note: Slots are Limited and Consideration will be given on a first come first serve basis. [name], The Student Services Recruitment Specialist, Cornell State University."
29,"Mailbox Expiration Notice Thursday, March 30, 2023",[Unknown],[No body content]
30,Your mailbox is 100% full,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""ADMIN@Cornell <help@zuppler.com>"". The link directs to a fake login page. Do not reply to the sender nor follow the link. If you entered your credentials into the linked page, change your NetID password immediately at https://netid.cornell.edu. Your mailbox is full. 2.83 GB 2.82 GB Your mailbox can no longer send or receive messages. To make room in your mailbox, visit your outlook storage portal below Fix-Now. Mailbox address: NetID@cornell.edu"
31,New Message from Randy [Surname],[Unknown],"This phish typically originates from a non-Cornell email address. The sender may appear as ""Randy [Surname] <[user]@wxxi.org>"". The link within directs to a PDF with a fake OneDrive notice hosted via Cloudinary. The PDF contains a link to a fake login page. If you entered your credentials into the page, change your NetID password immediately at https://netid.cornell.edu. OneDrive NEW FAX DOCUMENT(S) HAS BEEN RECEIVED Reference #: (281) 309-9361 Result Code: SUCCESS Pages: 1 PREVIEW DOCUMENT HERE"
32,"Document shared for [NetiD]@cornell.edu September 1, 2023, [time] [AM/PM]",[Unknown],[No body content]
33,Data Entry Representative At Cornell,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""cornelluniversity.edu <[user]@yandex.com>"". Do not reply to the sender nor contact the phone number within the email. This is not a legitimate offer for employment. See Beware of Job and Internship Scams from Career Services. From the Office of the Professor, Graduate School of Education University - Faculty, Cornell University. The Cornell University, Graduate School of Education University- Faculty urgently requires the Services of Student Research Assistants for a remote position to earn $500 weekly. The research position is open to Students from any department of the Institution as it gives great opportunities for work experience without affecting academic performance and tasks can be carried out remotely with work time of less than 7 hours a week. To proceed with the application process, please contact Professor [Spoofed Name] on +1 (###) ###-#### via text message stating your full name, uniqname, email address, year of study, and department regarding the job description and further application requirements. Best Regards. C/O Professor [Spoofed Name] Title: Professor & assistant Chairperson Department of Computer Science"
34,Wage Increase & Tax Deduction Review | Saturday-September-2023 [Time] [AM/PM],[Unknown],[No body content]
35,"Subject varies: ""Task: March 8th"", ""TASK: Friday March 8th"", ""Personnel Essential Welfare""",[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] <[user]@gmail.com>"" and impersonates a member of university leadership. Do not reply to the sender. The scammer's goal is typically to coerce the recipient into purchasing gift cards. First Example Confirm if you are free this morning? Thanks [Spoofed Name]  Second Example Good morning, I'll need you to run a quick task. Let me know if you're unoccupied. I'm heading into a meeting with limited communication access, so just reply by email. Sincerely, [Spoofed Name] Third Example Hi Is your schedule open today? I’m heading for a meeting, but I am excellent with emails. I want you to discreetly handle a task for me. Thanks."
36,Reference: (ETF/Remittance For [NetID]@cornell.edu Dated: Wednesday-January-2024 [Time] [AM/PM]) 'Ref:####',[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""DocsOnlineSuite Shared-Via-Cornell-Notification <[user]@webmastercentral.co.uk>"". The link within directs to a fake login page. Do not click the link nor contact the sender. If you entered your credentials into the page, change your NetID password immediately at https://netid.cornell.edu. DocuSign You have received a secured document VIEW DOCUMENT Please complete with your electronic signature by following the link above. Thank You! Do Not Share This Email This email contains a secure link to DocuSign. Please do not share this email, link, or access code with others. Alternate Signing Method Visit DocuSign.com, click 'Access Documents', and enter the security code: [code] * Download the DocuSign App This message was sent to you by [Name] who is using the DocuSign Electronic Signature Service. If you would rather not receive email from this sender you may contact the sender with your request."
37,Call for participation,[Unknown],"Dear Students, We are delighted to inform you of internship opportunities available for remote positions through the Office of Job Placement and Student Services at Cornell University. Our primary focus is to assist students who may be experiencing financial difficulties while providing them with an excellent research experience. The maximum required work hours per week for this opportunity is seven hours, with flexible schedules that can be done from home or on-campus. Students will receive compensation of $300 per week. This internship opportunity is open to students from all departments of the institution, and tasks can be performed remotely. However, the vacancies are limited, and selection will be granted on a first-come, first-served basis. If you're interested in this opportunity, kindly contact Professor [name] via an ALTERNATIVE EMAIL ADDRESS, to [email address] stating your full name, phone number, alternative email address, department, and year of study, to request more information about job requirements and application details. Early application is encouraged due to the limited available slots. We look forward to hearing from you. Best regards, Office of Job Placement and Student Services Cornell University"
38,STUDENT PART TIME POSITION AVAILABLE,[Unknown],"This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] <[user]@gmail.com>"". The subject and exact body text may vary. Do not reply to the sender nor contact the phone number within the email. This is not a legitimate offer for employment. See Beware of Job and Internship Scams from Career Services. Cornell University! The computer science department is pleased to inform you about the available part time position of a research assistant and get paid weekly. The position is open to any departmental student. Send an SMS with your Full name, department, Year of study, Phone Number, age and alternative email address to Professor [Spoofed Name] at ###-###-#### as soon as you can to receive the position description and other requirements. The application procedure will start as soon as your application is received. Best Regards. Professor [Spoofed Name] Distinguished Professor Department of Computer Science Computer Systems Laboratory School of Electrical and Computer Engineering Cornell University 333 Rhodes Hall Ithaca, NY 14853"
39,Advanced Internship Opportunity,[Unknown],"Do not reply to the sender nor contact the Gmail address in the message body. Do not contact the phone number contained within the email. This is not a valid job offer. See Beware of Job and Internship Scams from Career Services. Subject: Advanced Internship Opportunity CORNELL UNIVERSITY The Department of Computer Science is currently seeking individuals interested in working remotely as research assistants. The engagement has a weekly work allocation of 5-7 hours with a weekly remuneration of $350-$400. The position is open to alumni and current students regardless of their academic departments. It's a flexible remote job that doesn't require prior experience. Thus, it is possible to accomplish assigned tasks during your regular working hours without interfering with your academic performance or leisure time. Please text Prof. [first name last] at (***) ***-***‬ with the following information if you would like to discuss the job offer: your full name, academic year, official email address, and department affiliation. Further information regarding the job application process will be communicated to you via the official email address. Kindly acknowledge receipt of this offer whether or not you are interested. Thank you! Kind regards, C/o [first name last] Tittle: Professor Department of Computer Science Cornell University (***) ***-***‬"
40,"Dear [name or netid], kindly re-authenticate your 2FA settings | Sun, October 8, 2023",[Unknown],"Setting up Microsoft's Multi-Factor Authentication (2FA). Please review your Multi-Factor Authentication (2FA) settings. Follow the steps below to conduct a review and verification. Use your smartphone camera to scan the code below to review your Multi-Factor Authentication (2FA) settings. CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message. CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message. CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message.CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message.CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message.CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message.CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message.CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message.CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message.CONFIDENTIALITY NOTICE: This e-mail, including all attachments, is for the sole use of the intended recipient(s) and/or may contain confidential information. Any unauthorized review, use, disclosure, alterations, or distribution is strictly prohibited and may violate state or federal Law. If you are not the intended recipient, please contact the sender by reply e-mail, delete this e-mail, and destroy all copies of the message./div>"
