,title,date_time,email_message
10,Job Opening,"Sat, 03/30/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as """"Prof. [Spoofed Name]"" &lt;[user]@gmail.com&gt;"". Do not reply to the sender nor contact the phone number within. This is not a legitimate offer for employment. See&nbsp;<a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams""><strong>Beware of Job and Internship Scams</strong></a>&nbsp;from Career Services.</div>

<p>Cornell University, College of Computing and Information Science, Department of Computer Science is currently seeking creative, highly organized and enthusiastic Graduate and Undergraduate Students to support ongoing data collection and analysis . They are to work remotely and get paid $350 weekly.<br>
The primary Research is in the area of Natural Language processing (NLP) where our goal is to develop algorithms and systems that will vastly improve a users ability to find, absorb and extract information from online- text .<br>
My group research generally proceeds at two levels; we focus both on building real systems for large-scale natural language processing tasks and on developing techniques to address underlying theoretical problems in the syntactic, semantic and pragmatic analysis of natural language. We rely on machine learning techniques including neural networks as our primary modeling tool, both for guiding natural language system development and for exploring the mechanisms that underlie language understanding.<br>
This is a part-time position with a flexible schedule, and the successful candidate will work approximately 6-7 hours per week &nbsp;. The position offers valuable research experience, and the opportunity to work with a dynamic and collaborative research team on campus.<br>
To proceed with the application process, submit a copy of &nbsp;your resume and your current class schedule for review or send me a text message stating your full name, major and year of study to &nbsp;(###) ###-####.</p>

<p>Best regards</p>

<p><br>
<u><strong>[Spoofed Name]<br>
Professor, Department of Computer Science<br>
&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; and Department of Information Science<br>
Associate Dean for Education, Bowers College of Computing and Information Science<br>
Cornell University<br>
417 Gates Hall</strong></u></p>

<p></p>
"
11,Task: March 29th,"Fri, 03/29/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &amp;lt[user]@gmail.com&gt;"" and impersonates a member of university leadership. Do not reply to the email. The sender's goal is typically to coerce the victim into purchasing gift cards.</div>

<p>Confirm if you are free this morning?</p>

<p>Thanks<br>
[Spoofed Name]</p>
"
12,REMOTE INTERNSHIP,"Fri, 03/29/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as ""CORNELL UNIVERSITY &lt;[user]@optimum.net&gt;"". Do not reply to the sender nor contact the Gmail address within. This is not a legitimate offer for employment. See&nbsp;<a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams""><strong>Beware of Job and Internship Scams</strong></a>&nbsp;from Career Services.</div>

<p>Dear Undergraduate and Graduate Students,</p>

<p>The Department of Accounting at Cornell University is pleased to<br>
announce a remote internship opportunity available through the office of<br>
Job Placement and Student Services for all interested and qualified<br>
students. We encourage you to apply and gain valuable experience in your<br>
desired field.</p>

<p>Position: Remote Intern<br>
Department: All Departments</p>

<p>Qualifications:<br>
- Currently enrolled as an undergraduate or graduate student at Cornell<br>
University.<br>
- Must have access to a computer and a stable internet connection.</p>

<p>Responsibilities:<br>
- Provide support to the faculty and staff of various departments in<br>
research tasks.<br>
- Conduct experiments and literature reviews under their guidance.<br>
- Maintain regular communication through online platforms and actively<br>
participate in virtual meetings.</p>

<p>Compensation:<br>
Selected interns will be eligible for a weekly stipend of $350 to<br>
acknowledge their dedication and commitment. The stipend will be<br>
disbursed at the end of each week. Upon selection, applicants will<br>
receive a notification email and must attend an online orientation<br>
session before commencing their work. We welcome applications from<br>
students of all fields, nationalities, and citizenship statuses.</p>

<p>How to Apply:<br>
To apply, kindly send an email to Professor [Spoofed Name] at<br>
[user]@gmail.com including the following details: your full name,<br>
year of study, department, and an alternate email address. Please ensure<br>
that the subject line of your email states ""Cornell University Intern<br>
Application."" Applications will be considered on a first-come,<br>
first-served basis as slots are limited. We look forward to your<br>
applications</p>

<p>Sincerely,<br>
The Remote Internship Team.<br>
Cornell University.</p>

<p>&nbsp;</p>
"
13,Kindly provide your cell number that i can reach you at,"Wed, 03/27/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates a member of university leadership. Do not reply to the sender. The attacker's goal is typically to coerce the victim into purchasing gift cards.</div>

<h3>First Example</h3>

<p>[Spoofed Name]</p>

<p>Dean</p>

<p>College of Arts and Sciences<br>
Cornell University</p>

<h3>Second Example</h3>

<p>[Spoofed Name]</p>

<p>Dean</p>

<p>Cornell University’s College of Agriculture and Life Sciences</p>
"
14,PAYROLL UPDATE !!!,"Tue, 03/26/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates a Cornell University employee. The sender typically aims to coerce a Human Resources or other administrative staff member into making fraudulent direct deposit changes. Do not reply to the sender.</div>

<p>Hi there,</p>

<p>I want my banking information to be changed before the next pay date.<br>
What details do you need?</p>

<p>Best Regards,</p>

<p>[Spoofed Name]<br>
==</p>

<p>&nbsp;</p>
"
15,INDIVIDUAL ASSESSMENT REPORT,"Thu, 03/21/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Grace [Surname] &lt;[user]@nau.edu&gt;"". The link within directs to a fake login page hosted via Jotform. Do not follow the link nor reply to the sender. If you entered your credentials into the page, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>

<p>Dear faculty and staff members,</p>

<p>We kindly request your attention to review the individual assessment report. Your input is valuable and appreciated, as it helps us to better understand your strengths and weaknesses. By reviewing this report, we can identify areas where further support and training may be necessary, ultimately leading to your growth and success within the organization.</p>

<p><a href=""#"">CLICK HERE TO VIEW YOUR REPORT</a></p>

<p>Thank you for your cooperation in this matter.</p>

<p>Best regards.</p>

<p>&nbsp;</p>
"
16,Office Support_Desk: Restore Failed Deliveries,"Wed, 03/13/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""Expedited Retrieval &lt;[user]@skytechcontrol.io&gt;"". The link within directs to a fake login page. Do not follow the link nor contact the sender. If you entered your credentials into the linked form, change your NetID password immediately at <a href=""https://netid.cornell.edu"">https://netid.cornell.edu</a>.</div>



<!-- THEME DEBUG -->
<!-- THEME HOOK: 'filter_caption' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->
<figure>


<!-- THEME DEBUG -->
<!-- THEME HOOK: 'entity_embed_container' -->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->
<div data-entity-type=""media"" data-entity-uuid=""f55623e1-75ed-4900-89c6-a0fdee50bdeb"" data-langcode=""en"" class=""embedded-entity"">

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'media' -->
<!-- FILE NAME SUGGESTIONS:
   * media--source-image.html.twig
   * media--image--full.html.twig
   x media--image.html.twig
   * media--full.html.twig
   * media.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->


  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'field' -->
<!-- FILE NAME SUGGESTIONS:
   * field--media--field-media-image--image.html.twig
   * field--media--field-media-image.html.twig
   * field--media--image.html.twig
   * field--field-media-image.html.twig
   x field--image.html.twig
   * field.html.twig
-->
<!-- BEGIN OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->
      

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image_formatter' -->
<!-- BEGIN OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->
  

<!-- THEME DEBUG -->
<!-- THEME HOOK: 'image' -->
<!-- BEGIN OUTPUT from 'core/modules/system/templates/image.html.twig' -->
<img loading=""lazy"" src=""/sites/default/files/itc-drupal10-images/pb-microsoft-2024.3.13.png"" width=""690"" height=""318"" alt=""A fake Microsoft-branded notification with a &quot;Recover messages&quot; button."">

<!-- END OUTPUT from 'core/modules/system/templates/image.html.twig' -->



<!-- END OUTPUT from 'core/modules/image/templates/image-formatter.html.twig' -->


  
<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/field--image.html.twig' -->



<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/media--image.html.twig' -->

</div>

<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/entity-embed-container.html.twig' -->


<figcaption>Hello
NetID@cornell.edu,
We have restricted 2 incoming Cornell messages due to a server error.
Consult and choose what to do with them.
Recover messages
Cornell Help Center</figcaption>


<!-- END OUTPUT from 'themes/custom/cwd_base/templates/media/filter-caption.html.twig' -->

</figure>

<p>&nbsp;</p>
"
17,STUDENT REMOTE ASSISTANT POSITION,"Sun, 03/10/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""&lt;[user]@optopnline.net&gt;"". The subject and exact body text may vary. Do not reply to the sender nor contact the email address within the body of the email. This is not a legitimate offer for employment. See&nbsp;<a href=""https://scl.cornell.edu/get-involved/career-services/jobs-and-internships/finding-positions/beware-job-and-internship-scams""><strong>Beware of Job and Internship Scams</strong></a>&nbsp;from Career Services.</div>

<h3>First Example</h3>

<p>FROM THE OFFICE OF JOB PLACEMENT AND STUDENT SERVICES- CORNELL UNIVERSITY</p>

<p>In reference to the above subject</p>

<p>The university will be hiring undergraduate students this week as interns for a remote position. The aim of this position is to help struggling students cover expenses incurred here on campus. Tasks can be carried out at leisure, taking at most 1 hour per day,7 hours a week with a weekly pay of $350 as compensation for services rendered.</p>

<p>It is Flexible opportunity where you will determine your working time. Since this is a “Remote” Position, tasks can be carried out from home or on campus. We are currently working on a Research that would require the services of students (Graduate/Undergraduate) of any Department of the institution to Obtain a Remote Position in this Research. Interested students, Kindly contact Professor [Spoofed Name] via email at [user]@gmail.com stating your full name, email, department and year of study regarding the job description and further application requirements.</p>

<p>Please Note: Slots are Limited and Consideration will be given on a first come first serve basis</p>

<p>[Spoofed Name],<br>
The Student Services Recruitment,<br>
Specialist,<br>
Cornell University.</p>

<h3>Second Example</h3>

<p>FROM THE OFFICE OF JOB PLACEMENT AND STUDENT SERVICES - CORNELL<br>
UNIVERSITY.</p>

<p>In reference to the above subject</p>

<p>CORNELL UNIVERSITY will be hiring undergraduate students this week as<br>
Interns for a remote position. The aim of this position is to help<br>
struggling students cover expenses incurred here on campus. Tasks can be<br>
carried out at leisure, taking at most 1 hour per day, 7 hours a week<br>
with a weekly pay of $350 as compensation for services rendered.</p>

<p>It is a Flexible Opportunity where you will determine your working time.<br>
Since this is a ""Remote"" Position, tasks can be carried out from home or<br>
on campus. Interested students, Kindly contact Professor [Spoofed Name] &nbsp;via email at [user]@gmail.com stating your<br>
full name, email, department and year of study regarding the job<br>
description and further application requirements.</p>

<p>Please Note: Slots are Limited and Consideration will be given on a<br>
first come first serve basis.</p>

<p>Best regards.</p>
"
18,"Subject varies: ""Task: March 8th"", ""TASK: Friday March 8th"", ""Personnel Essential Welfare""","Fri, 03/08/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates a member of university leadership. Do not reply to the sender. The scammer's goal is typically to coerce the recipient into purchasing gift cards.</div>

<h3>First Example</h3>

<p>Confirm if you are free this morning?</p>

<p>Thanks<br>
[Spoofed Name]&nbsp;</p>

<h3>Second Example</h3>

<p>Good morning,<br>
I'll need you to run a quick task. Let me know if you're unoccupied. I'm heading into a meeting with limited communication access, so just reply by email.</p>

<p>Sincerely,<br>
[Spoofed Name]</p>

<h3>Third Example</h3>

<p>Hi</p>

<p>Is your schedule open today? I’m heading for a meeting, but I am excellent with emails. I want you to discreetly handle a task for me.</p>

<p>Thanks.</p>
"
19,Own A Snap-On Tools and Accessories,"Fri, 03/08/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates a member of university leadership. Do not reply to the sender nor contact the email address within the message. The attacker's goal is typically to coerce the recipient into a fraudulent financial transfer.</div>

<p>Dear Staff,Faculty</p>

<p></p>

<p>One of our staff at Cornell University ,Mrs.[Spoofed Name], has expressed her willingness to donate her late dad's Miller 951937 Dynasty 300 TIG Welder with/ TIG Runner Package &amp; Wireless Foot Control, along with a complete set of Snap-On Tools and accessories</p>

<p></p>

<p>To indicate your interest kindly write to Mrs.[Spoofed Name], on her personal email [[user]@outlook.com] for a swift response and for more details and inspection of the Tools.</p>

<p></p>

<p></p>

<p>Best Regards.</p>

<p></p>

<p></p>

<p></p>

<p>[Spoofed Name]</p>

<p>[Title]</p>

<p>[Office]</p>

<p>Cornell University</p>

<p></p>

<p>At times emails are sent outside of 8:00-5:00 business hours or on weekends. Please do not feel obligated to respond outside of normal working hours.</p>

<p>&nbsp;</p>
"
20,Regarding Your Request for Account Closure,"Thu, 04/25/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell address. The sender may appear as ""Service Request | Account Deletion &lt;[user]@oeroupdater.online&gt;"" or may use other .shop or .online domains. Do not contact the phone number within the email nor reply to the sender. The scammer's goal is typically to coerce the victim into granting remote access to their computer.</div>

<p class=""text-align-right""><strong>Request Id:ADR2009592</strong></p>

<p><strong>Dear [Name],</strong></p>

<p><br>
This is an Auto-Generated Email sent from a non-monitored email address. Do not reply to this Email however you may need to perform action as requested in the Ticket.</p>

<p>Here at cornell.edu, We value your never-ending trust in our services.</p>

<p>Regarding your Email-Service Deletion request, a ticket has been created and will take up to 72 Business Hours to complete this request.</p>

<p><strong>Request raised on Wednesday, 24 April 2024 using “Dell Inspiron” from Ciadud de Mexico, based on your IP ([Fake IP]).</strong></p>

<p>This request will be executed only after 72 Business Hours as this is categorized as unusual since it came from an international location,</p>

<p><strong>To report this as an issue with your account and to stop service deletion, call support helpline at 1-###-###-####</strong></p>

<p>Simply ignore this e-mail if you want your account to be deleted and request will be Auto-Completed by Server.</p>

<p>We Strongly Recommend you to take necessary backups of all your Contacts, e-mails, and documents as no data can be recovered once account is deleted.</p>

<p>Assuring you of our best service at all times.</p>

<p><strong>Regards,<br>
Account Support Team<br>
1-###-###-####</strong></p>

<p>&nbsp;</p>
"
21,Hello [Name],"Wed, 03/06/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] &lt;[user]@ntlworld.com&gt;"" and typically impersonates a member of university leadership. The scammer's goal is typically to coerce the victim into fraudulent financial transfers via personal payment apps. Do not reply to the sender.</div>

<p>Could you perhaps handle a late payment for an administrative charge on the behalf of the board today?.</p>

<p><br>
We have an overdue payment to a vendor to cover up for some Administrative Expense and we need a member to help out handle a Zelle or Paypal payment and will send a reimbursement check.</p>

<p>Amount : $970</p>

<p><br>
Let me know which is best for you and when you are ready for the details.</p>

<p><br>
Thank You</p>

<p>[Spoofed Name]</p>

<p></p>
"
22,Hi [First Name],"Tue, 03/05/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell email address. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and typically impersonates a member of university leadership. The scammer's goal is typically to coerce the victim into purchasing gift cards. Do not reply to the sender.</div>

<p>Write back if you're available.</p>

<p>I need you to take care of something for me.</p>

<p>Thanks.</p>

<p>[Spoofed Name].</p>

<p>Sent from my iPhone&nbsp;</p>
"
23,UPDATE PAYCHECK ACCOUNT,"Tue, 03/05/2024 - 12:00","<div class=""accent-blue-green dialog dialog-notice fill panel"">This phish typically originates from a non-Cornell account. The sender may appear as ""[Spoofed Name] &lt;[user]@gmail.com&gt;"" and impersonates an employee. The scammer typically aims to coerce a Human Resources or other administrative staff member into making a fraudulent direct deposit change. Do not reply to the sender.</div>

<p>Hello [Name],</p>

<p>I hope you're doing well.</p>

<p>I'm reaching out to request an update to my bank details before the upcoming payroll deposit. Could you kindly guide me on the specific details you require for this update?</p>

<p>Thank you for your assistance, and I appreciate your swift response.</p>

<p>[Spoofed Name]<br>
[Spoofed Title]</p>

<p>Sent from my iPhone</p>

<p>&nbsp;</p>
"
